City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
385,chagny,46.9095,4.7519,13.03000000000003,95,83,1.14,FR,1684643034
386,pariaman,-0.619,100.12,30.03000000000003,64,88,1.96,ID,1684643036
387,novaci,45.1833,23.6667,13.28000000000003,75,44,2.79,RO,1684643036
388,tsetserleg,47.475,101.4542,8.150000000000034,20,55,1.8,MN,1684643037
389,mahriz,31.5917,54.4318,25.28000000000003,31,100,4.52,IR,1684643037
390,riva del garda,45.8858,10.8412,18.350000000000023,85,100,3.68,IT,1684643038
391,sandpoint,48.2766,-116.5533,22.140000000000043,61,0,5.14,US,1684643038
392,novyy urgal,51.0736,132.5642,16.260000000000048,39,100,6.96,RU,1684643039
393,truro,50.2653,-5.0544,11.580000000000041,78,11,3.6,GB,1684643039
394,cibla,56.55,27.8833,10.740000000000009,68,72,1.3,LV,1684643040
395,ibiruba,-28.6275,-53.0897,15.860000000000014,73,100,2.12,BR,1684643041
396,ancud,-41.8697,-73.8203,9.939999999999998,93,100,8.22,CL,1684643042
397,sarykemer,43.0,71.5,22.710000000000036,41,55,2.4,KZ,1684643042
398,hammerfest,70.6634,23.6821,9.25,81,75,2.57,NO,1684643043
399,sorong,-0.8833,131.25,30.120000000000005,59,100,4.78,ID,1684643043
400,cayambe,0.05,-78.1333,10.590000000000032,96,100,0.26,EC,1684643044
401,al kharijah,25.4514,30.5464,24.200000000000045,25,44,2.61,EG,1684643044
402,valday,57.9747,33.2525,10.060000000000002,60,0,2.82,RU,1684643045
403,brigantine,39.4101,-74.3646,19.0,99,100,0.89,US,1684643045
404,fallon,39.4735,-118.7774,24.689999999999998,30,40,3.6,US,1684643046
405,kurtamysh,54.9103,64.4319,17.950000000000045,44,56,3.53,RU,1684643046
406,yelizovo,53.1873,158.3805,8.080000000000041,66,75,3.0,RU,1684643047
407,laibin,23.7,109.2667,32.69,62,48,6.39,CN,1684643047
408,zhezqazghan,47.7833,67.7667,18.32000000000005,34,71,4.0,KZ,1684643047
409,tamanrasset,22.785,5.5228,17.950000000000045,14,0,2.06,DZ,1684643048
410,slave lake,55.2834,-114.769,13.990000000000009,72,100,3.09,CA,1684642848
411,tulsipur,28.131,82.2973,33.400000000000034,19,0,2.87,NP,1684643049
412,prince rupert,54.3161,-130.3201,10.050000000000011,92,100,2.57,CA,1684643030
413,el calafate,-50.3408,-72.2768,1.8700000000000045,82,26,1.91,AR,1684643050
414,sao gabriel da cachoeira,-0.1303,-67.0892,23.910000000000025,98,100,0.81,BR,1684643051
415,timbuktu,16.7735,-3.0074,31.82000000000005,16,84,3.81,ML,1684643051
416,taft,31.7471,54.2088,24.970000000000027,26,75,1.03,IR,1684643051
417,rasskazovo,52.6714,41.9033,14.110000000000014,84,60,2.36,RU,1684643052
418,chui,-33.6971,-53.4616,16.04000000000002,93,100,2.64,UY,1684643052
419,moyynkum,44.2914,72.9469,21.629999999999995,43,1,4.72,KZ,1684643053
420,salalah,17.0151,54.0924,31.05000000000001,74,40,6.69,OM,1684643053
421,tabuk,17.4189,121.4443,33.410000000000025,55,9,1.49,PH,1684643054
422,deniliquin,-35.5333,144.9667,16.840000000000032,37,33,6.6,AU,1684643054
423,san ignacio de velasco,-16.3667,-60.95,24.010000000000048,71,100,2.12,BO,1684643055
424,waounde,15.2637,-12.8682,32.650000000000034,10,55,4.28,SN,1684643055
425,chibougamau,49.9168,-74.3659,9.79000000000002,93,100,1.03,CA,1684643056
426,camalu,30.85,-116.0667,15.640000000000043,85,2,2.17,MX,1684643056
427,luderitz,-26.6481,15.1594,13.460000000000036,47,3,5.94,NA,1684643056
428,farafangana,-22.8167,47.8333,20.57000000000005,74,0,3.29,MG,1684643057
429,zinjibar,13.1287,45.3807,30.610000000000014,73,11,6.36,YE,1684643057
430,kailua-kona,19.6406,-155.9956,28.110000000000014,78,20,3.6,US,1684642772
431,swakopmund,-22.6833,14.5333,12.210000000000036,90,0,0.89,NA,1684643058
432,wewak,-3.5534,143.6268,27.439999999999998,75,100,1.48,PG,1684643059
433,las tablas,7.7667,-80.2833,26.210000000000036,99,100,1.02,PA,1684643059
434,nabire,-3.3667,135.4833,31.370000000000005,61,27,2.09,ID,1684643060
435,ponta delgada,37.7333,-25.6667,17.400000000000034,77,75,5.14,PT,1684643060
436,kibawe,7.5686,124.9878,28.32000000000005,68,71,1.9,PH,1684643061
437,itamaraca,-7.7478,-34.8256,23.03000000000003,92,45,3.23,BR,1684643061
438,coronel du graty,-27.6804,-60.9146,18.310000000000002,97,100,3.73,AR,1684643062
439,saint-philbert-de-grand-lieu,47.0333,-1.6333,11.520000000000039,87,0,2.57,FR,1684643062
440,poronaysk,49.2167,143.1167,3.6299999999999955,97,100,4.72,RU,1684643063
441,jianshui,23.6363,102.8264,30.53000000000003,27,0,5.29,CN,1684643063
442,island harbour,50.724,-1.2758,10.520000000000039,83,0,2.24,GB,1684643064
443,zelenoborskiy,66.845,32.3622,9.82000000000005,73,38,1.92,RU,1684643064
444,antsiranana,-12.2787,49.2917,25.420000000000016,83,40,3.09,MG,1684643065
445,newman,37.3138,-121.0208,24.129999999999995,65,1,1.34,US,1684643065
446,melekeok village,7.4957,134.6367,29.310000000000002,74,75,2.57,PW,1684643065
447,bereznik,62.8551,42.7072,13.420000000000016,44,5,0.32,RU,1684643066
448,myeik,12.4333,98.6,30.610000000000014,65,98,4.02,MM,1684643066
449,byron bay,-28.65,153.6167,21.510000000000048,39,0,3.84,AU,1684642505
450,yakeshi,49.2833,120.7333,17.310000000000002,26,38,6.6,CN,1684643067
451,dongobesh,-4.0667,35.3833,11.640000000000043,90,92,1.73,TZ,1684643068
452,popondetta,-8.7537,148.2534,29.760000000000048,60,99,2.74,PG,1684643068
453,sao paulo de olivenca,-3.3783,-68.8725,25.400000000000034,88,98,0.65,BR,1684643069
454,krasnoural'sk,58.3638,60.0407,19.28000000000003,32,47,0.91,RU,1684643069
455,waddan,29.1614,16.139,20.57000000000005,32,0,2.97,LY,1684643070
456,lucea,18.451,-78.1736,27.920000000000016,79,0,2.39,JM,1684643070
457,shipunovo,52.1582,82.2173,17.060000000000002,32,0,3.64,RU,1684642880
458,puerto real,36.5282,-6.1901,18.090000000000032,77,20,3.6,ES,1684643071
459,shakiso,5.75,38.9167,15.800000000000011,83,79,0.44,ET,1684643071
460,al bawiti,28.3492,28.8659,22.620000000000005,32,21,4.98,EG,1684643072
461,port-vila,-17.7338,168.3219,24.78000000000003,88,100,5.14,VU,1684643072
462,weno,7.4515,151.8468,24.970000000000027,100,100,4.12,FM,1684643073
463,madinat ash shamal,26.1293,51.2009,29.660000000000025,55,50,4.65,QA,1684643073
464,lexington,37.9887,-84.4777,14.0,72,0,2.06,US,1684642923
465,vila velha,-20.3297,-40.2925,21.08000000000004,92,100,1.03,BR,1684643074
466,na mom,6.9586,100.5568,33.68000000000001,74,40,4.12,TH,1684643074
467,hell-ville,-13.4,48.2667,25.74000000000001,79,2,2.15,MG,1684643075
468,nakambala,-15.8324,27.7799,15.920000000000016,44,8,1.13,ZM,1684643075
469,san antonio de pale,-1.4014,5.6325,26.83000000000004,72,100,5.39,GQ,1684643076
470,lata,40.1629,-8.3327,15.510000000000048,54,99,2.6,PT,1684643076
471,broome,42.2506,-75.833,11.03000000000003,91,91,0.89,US,1684643076
472,holbrook,40.8123,-73.0784,18.120000000000005,97,100,4.63,US,1684643077
473,jimma,7.6667,36.8333,15.920000000000016,95,87,0.68,ET,1684643077
474,plainview,40.7765,-73.4673,18.480000000000018,92,100,1.54,US,1684643078
475,ambon,-3.6954,128.1814,30.08000000000004,58,20,2.06,ID,1684643078
476,buta,2.7858,24.73,20.54000000000002,99,18,0.26,CD,1684643079
477,greenville,35.6127,-77.3663,20.07000000000005,95,0,0.0,US,1684643080
478,zaozersk,69.4005,32.4476,10.879999999999995,74,80,1.86,RU,1684643080
479,demba,-5.51,22.2667,20.49000000000001,97,100,0.38,CD,1684643080
480,mao,39.8885,4.2658,15.310000000000002,94,75,7.72,ES,1684643081
481,hengchun,22.0042,120.7439,28.810000000000002,72,7,5.98,TW,1684643081
482,trairi,-3.2778,-39.2689,24.230000000000018,90,66,2.91,BR,1684642996
483,bel ombre,-4.6167,55.4167,28.910000000000025,74,40,6.17,SC,1684643082
484,burang,30.25,81.1667,6.910000000000025,40,0,2.28,CN,1684643082
485,capo d'orlando,38.1435,14.7305,16.340000000000032,86,32,5.55,IT,1684643083
486,santa elena de uairen,4.6167,-61.1333,20.560000000000002,93,100,1.46,VE,1684643083
487,ewo,-0.8725,14.8206,23.650000000000034,89,91,1.44,CG,1684643084
488,howard springs,-12.497,131.047,27.680000000000007,19,6,4.54,AU,1684643084
489,shahrak,34.1074,64.3052,18.54000000000002,22,8,0.44,AF,1684643084
490,lysianka,49.2523,30.8295,10.5,80,1,5.39,UA,1684643085
491,kokpekty,48.75,82.4,17.340000000000032,44,100,1.02,KZ,1684643085
492,ciudad bolivar,8.1222,-63.5497,26.910000000000025,77,100,5.02,VE,1684643086
493,kokopo,-4.352,152.2633,28.33000000000004,66,100,2.6,PG,1684643086
494,salinopolis,-0.6136,-47.3561,26.29000000000002,87,98,4.61,BR,1684643087
495,pirane,-25.7324,-59.1088,16.939999999999998,97,99,3.51,AR,1684643087
496,bardai,11.65,7.2333,25.75,68,98,4.95,NG,1684643087
